id,symbol,# of Res Gene was in
HGNC:11110,ARID1A,8
HGNC:950,BAP1,8
HGNC:1100,BRCA1,8
HGNC:1101,BRCA2,8
HGNC:1133,BTK,8
HGNC:1541,CBL,8
HGNC:1777,CDK6,8
HGNC:1787,CDKN2A,8
HGNC:1788,CDKN2B,8
HGNC:16627,CHEK2,8
HGNC:2731,DDR2,8
HGNC:3527,EZH2,8
HGNC:16712,FBXW7,8
HGNC:3765,FLT3,8
HGNC:1092,FOXL2,8
HGNC:5382,IDH1,8
HGNC:7127,MLH1,8
HGNC:7325,MSH2,8
HGNC:7765,NF1,8
HGNC:7773,NF2,8
HGNC:7881,NOTCH1,8
HGNC:26144,PALB2,8
HGNC:9585,PTCH1,8
HGNC:9588,PTEN,8
HGNC:9644,PTPN11,8
HGNC:9884,RB1,8
HGNC:6770,SMAD4,8
HGNC:11100,SMARCA4,8
HGNC:11103,SMARCB1,8
HGNC:11389,STK11,8
HGNC:11998,TP53,8
HGNC:12362,TSC1,8
HGNC:12363,TSC2,8
HGNC:391,AKT1,7
HGNC:427,ALK,7
HGNC:583,APC,7
HGNC:646,ARAF,7
HGNC:18037,ARID2,7
HGNC:795,ATM,7
HGNC:882,ATR,7
HGNC:886,ATRX,7
HGNC:1097,BRAF,7
HGNC:1582,CCND1,7
HGNC:1589,CCNE1,7
HGNC:1748,CDH1,7
HGNC:24224,CDK12,7
HGNC:1773,CDK4,7
HGNC:1785,CDKN1B,7
HGNC:1925,CHEK1,7
HGNC:14214,CIC,7
HGNC:2348,CREBBP,7
HGNC:2433,CSF1R,7
HGNC:2514,CTNNB1,7
HGNC:2978,DNMT3A,7
HGNC:3236,EGFR,7
HGNC:3430,ERBB2,7
HGNC:3432,ERBB4,7
HGNC:3467,ESR1,7
HGNC:3688,FGFR1,7
HGNC:3689,FGFR2,7
HGNC:3690,FGFR3,7
HGNC:3691,FGFR4,7
HGNC:4171,GATA2,7
HGNC:4379,GNA11,7
HGNC:4390,GNAQ,7
HGNC:4392,GNAS,7
HGNC:4776,H3C2,7
HGNC:5173,HRAS,7
HGNC:5383,IDH2,7
HGNC:6190,JAK1,7
HGNC:6192,JAK2,7
HGNC:6193,JAK3,7
HGNC:12637,KDM6A,7
HGNC:6307,KDR,7
HGNC:6342,KIT,7
HGNC:13726,KMT2C,7
HGNC:6407,KRAS,7
HGNC:6840,MAP2K1,7
HGNC:6842,MAP2K2,7
HGNC:6844,MAP2K4,7
HGNC:6973,MDM2,7
HGNC:6974,MDM4,7
HGNC:7010,MEN1,7
HGNC:7029,MET,7
HGNC:7329,MSH6,7
HGNC:3942,MTOR,7
HGNC:7553,MYC,7
HGNC:7559,MYCN,7
HGNC:7562,MYD88,7
HGNC:7652,NBN,7
HGNC:7782,NFE2L2,7
HGNC:7883,NOTCH3,7
HGNC:7910,NPM1,7
HGNC:7989,NRAS,7
HGNC:8033,NTRK3,7
HGNC:8619,PAX5,7
HGNC:30064,PBRM1,7
HGNC:8804,PDGFRB,7
HGNC:8975,PIK3CA,7
HGNC:8979,PIK3R1,7
HGNC:9122,PMS2,7
HGNC:9177,POLE,7
HGNC:9388,PRKAR1A,7
HGNC:9829,RAF1,7
HGNC:9967,RET,7
HGNC:667,RHOA,7
HGNC:10261,ROS1,7
HGNC:10681,SDHB,7
HGNC:18420,SETD2,7
HGNC:10768,SF3B1,7
HGNC:11119,SMO,7
HGNC:16466,SUFU,7
HGNC:25941,TET2,7
HGNC:12453,U2AF1,7
HGNC:12687,VHL,7
HGNC:12796,WT1,7
HGNC:76,ABL1,6
HGNC:392,AKT2,6
HGNC:393,AKT3,6
HGNC:26837,AMER1,6
HGNC:644,AR,6
HGNC:18318,ASXL1,6
HGNC:903,AXIN1,6
HGNC:905,AXL,6
HGNC:952,BARD1,6
HGNC:20893,BCOR,6
HGNC:1509,CASP8,6
HGNC:1583,CCND2,6
HGNC:1585,CCND3,6
HGNC:17098,DICER1,6
HGNC:3373,EP300,6
HGNC:3431,ERBB3,6
HGNC:3446,ERG,6
HGNC:3490,ETV1,6
HGNC:3495,ETV6,6
HGNC:3582,FANCA,6
HGNC:3681,FGF3,6
HGNC:3700,FH,6
HGNC:27310,FLCN,6
HGNC:3823,FOXP1,6
HGNC:4004,FUBP1,6
HGNC:4764,H3-3A,6
HGNC:11621,HNF1A,6
HGNC:13176,IKZF1,6
HGNC:7133,KMT2D,6
HGNC:6871,MAPK1,6
HGNC:6913,MAX,6
HGNC:11957,MED12,6
HGNC:7105,MITF,6
HGNC:7230,MRE11,6
HGNC:7545,MYB,6
HGNC:7555,MYCL,6
HGNC:7882,NOTCH2,6
HGNC:8031,NTRK1,6
HGNC:8032,NTRK2,6
HGNC:8803,PDGFRA,6
HGNC:9302,PPP2R1A,6
HGNC:9346,PRDM1,6
HGNC:9801,RAC1,6
HGNC:9816,RAD50,6
HGNC:28611,RICTOR,6
HGNC:10471,RUNX1,6
HGNC:10680,SDHA,6
HGNC:10683,SDHD,6
HGNC:11254,SPOP,6
HGNC:11283,SRC,6
HGNC:11355,STAG2,6
HGNC:11364,STAT3,6
HGNC:17101,SUZ12,6
HGNC:11491,SYK,6
HGNC:11730,TERT,6
HGNC:11986,TOP1,6
HGNC:12825,XPO1,6
HGNC:11393,AURKA,5
HGNC:990,BCL2,5
HGNC:994,BCL2L11,5
HGNC:591,BIRC3,5
HGNC:1058,BLM,5
HGNC:13575,BRD4,5
HGNC:16393,CARD11,5
HGNC:1539,CBFB,5
HGNC:17635,CD274,5
HGNC:1699,CD79B,5
HGNC:16783,CDC73,5
HGNC:1784,CDKN1A,5
HGNC:1789,CDKN2C,5
HGNC:1833,CEBPA,5
HGNC:2363,CRKL,5
HGNC:14281,CRLF2,5
HGNC:13723,CTCF,5
HGNC:2681,DAXX,5
HGNC:3434,ERCC2,5
HGNC:3493,ETV4,5
HGNC:3494,ETV5,5
HGNC:3584,FANCC,5
HGNC:3675,FGF19,5
HGNC:3767,FLT4,5
HGNC:3819,FOXO1,5
HGNC:3821,FOXO3,5
HGNC:4170,GATA1,5
HGNC:4172,GATA3,5
HGNC:4317,GLI1,5
HGNC:4585,GRIN2A,5
HGNC:4893,HGF,5
HGNC:5465,IGF1R,5
HGNC:6024,IL7R,5
HGNC:6119,IRF4,5
HGNC:6126,IRS2,5
HGNC:6204,JUN,5
HGNC:9886,KDM5A,5
HGNC:11114,KDM5C,5
HGNC:23177,KEAP1,5
HGNC:7132,KMT2A,5
HGNC:6693,LRP1B,5
HGNC:7217,MPL,5
HGNC:8068,NUP98,5
HGNC:8980,PIK3R2,5
HGNC:8986,PIM1,5
HGNC:9113,PML,5
HGNC:9236,PPARG,5
HGNC:8607,PRKN,5
HGNC:9817,RAD51,5
HGNC:9822,RAD51B,5
HGNC:9820,RAD51C,5
HGNC:9823,RAD51D,5
HGNC:18505,RNF43,5
HGNC:10682,SDHC,5
HGNC:6768,SMAD2,5
HGNC:11367,STAT5B,5
HGNC:11773,TGFBR2,5
HGNC:11876,TMPRSS2,5
HGNC:11896,TNFAIP3,5
HGNC:12680,VEGFA,5
HGNC:77,ABL2,4
HGNC:11390,AURKB,4
HGNC:904,AXIN2,4
HGNC:914,B2M,4
HGNC:989,BCL10,4
HGNC:1001,BCL6,4
HGNC:25657,BCORL1,4
HGNC:1014,BCR,4
HGNC:1076,BMPR1A,4
HGNC:20473,BRIP1,4
HGNC:1455,CALR,4
HGNC:1537,CBFA2T3,4
HGNC:1779,CDK8,4
HGNC:1806,CDX2,4
HGNC:2439,CSF3R,4
HGNC:2505,CTLA4,4
HGNC:2745,DDX3X,4
HGNC:24948,DOT1L,4
HGNC:3188,EED,4
HGNC:3387,EPHA3,4
HGNC:3392,EPHB1,4
HGNC:3436,ERCC4,4
HGNC:3437,ERCC5,4
